group_id,group_name,titul,url,velikost_b
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 3.9.2024","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-3-9-2024-zapis-rada-poskytovatelu-mzcr-3-9-2024-66f1734e8aa79.pdf",153299
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 26.11.2024","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-26-11-2024-zapis-rada-poskytovatelu-mzcr-26-11-2024-677b9a4666da0.pdf",146258
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 8.4.2025","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-8-4-2025-zapis-rada-poskytovatelu-mzcr-8-4-2025-6821db8645a33.pdf",169240
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 10.6.2025","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-10-6-2025-zapis-rada-poskytovatelu-mzcr-10-6-2025-68639a029f9f9.pdf",149527
3,"Vědecká rada Ministerstva zdravotnictví","ZDM č. 12-2026 - Statut a jednací řád VR MZČR","https://ppo.mzcr.cz/upload/files/zakladni-dokumenty-zdm-c-12-2026-statut-a-jednaci-rad-vr-mzcr-69b53ff88fb97.pdf",187729
3,"Vědecká rada Ministerstva zdravotnictví","archiv-zapisy-vedecka-rada-2018","https://ppo.mzcr.cz/upload/files/zapisy-z-jednani-archiv-zapisy-vedecka-rada-2018-69d39eb4c2b5e.zip",863754
3,"Vědecká rada Ministerstva zdravotnictví","archiv-zapisy-vedecka-rada-2019","https://ppo.mzcr.cz/upload/files/zapisy-z-jednani-archiv-zapisy-vedecka-rada-2019-69d3a4ab4d6dd.zip",676390
3,"Vědecká rada Ministerstva zdravotnictví","archiv-zapisy-vedecka-rada-2020","https://ppo.mzcr.cz/upload/files/zapisy-z-jednani-archiv-zapisy-vedecka-rada-2020-69d3a4b80c087.zip",361699
3,"Vědecká rada Ministerstva zdravotnictví","archiv-zapisy-vedecka-rada-2021","https://ppo.mzcr.cz/upload/files/zapisy-z-jednani-archiv-zapisy-vedecka-rada-2021-69d3a4c1c3320.zip",285689
3,"Vědecká rada Ministerstva zdravotnictví","archiv-zapisy-vedecka-rada-2022","https://ppo.mzcr.cz/upload/files/zapisy-z-jednani-archiv-zapisy-vedecka-rada-2022-69d3a4ca90d80.zip",815869
