person_id,person_name,pocet_clenstvi,role,afiliace,skupiny
1012,"Ing. Eva Jursíková",1,"Členové","Státní úřad pro jadernou bezpečnost","Komise pro program screeningu karcinomu prsu (Členové)"
1030,"prof. MUDr. Zdeněk Kala, CSc.",1,"Členové","Česká chirurgická společnost ČLS JEP","Komise pro podporu diagnostiky a léčby rakoviny slinivky břišní (Členové)"
1056,"doc. MUDr. Debora Karetová, CSc.",1,"Členové","Česká angiologická společnost, ČLS JEP","Komise pro přípravu programu screeningu aneurysmatu abdominální aorty (Členové)"
1060,"MUDr. Eva Kasalická",1,"Členové","zástupce Sdružení praktických lékařů ČLS JEP","Pracovní skupina pro koncepční řešení poskytování domácí péče v ČR (Členové)"
1069,"prof. MUDr. Josef Kautzner, CSc.",1,"Členové","člen od 1.1.2024","Komise pro institucionální podporu (Členové)"
1097,"Ing. Martina Klimková",1,"Členové","","Pracovní skupina pro rozvoj a implementaci mezinárodních principů na podporu zdraví do systémů řízení kvality ve zdravotnických zařízeních (Členové)"
1114,"Mgr. Daniela Kobilková",1,"Členové","ředitelka Odboru kanceláře ministra","Řídicí výbor implementace Strategického rámce rozvoje péče o zdraví v České republice do roku 2030 (Členové)"
1115,"PhDr. Karel Koblic",1,"Členové","","Pracovní skupina k zajištění dostupnosti psychoterapie, psychoterapeutických a psychosociálních intervencí (Členové)"
1119,"MUDr. Petr Kocna, CSc.",1,"Členové","Česká společnost klinické biochemie ČLS JEP","Komise pro program screeningu kolorektálního karcinomu (Členové)"
1122,"PhDr. Jana Kocourková, MBA",1,"Hosté","","Pracovní skupina k zajištění dostupnosti psychoterapie, psychoterapeutických a psychosociálních intervencí (Hosté)"
1125,"MUDr. Jaromír Kočí, Ph.D., FACS",1,"Členové","SUMMK ČLS JEP","Pracovní komise pro systémové řešení urgentních příjmů (Členové)"
1127,"doc. MUDr. Radim Kočvara, CSc., FEAPU",1,"Členové","ERN eUrogen, VFN","Mezioborová komise pro vzácná onemocnění (Členové)"
1133,"Mgr. Lukáš Kohoutek",1,"Členové","Česká koalice proti tabáku","Mezirezortní pracovní skupina k problematice komplexní ochrany před škodami působenými tabákem (MPS KOTA) (Členové)"
1134,"Ing. Ivana Kohoutová",1,"Členové","","Lékopisná komise Ministerstva zdravotnictví (Členové)"
1136,"prof. MUDr. Martin Köcher, Ph.D.",1,"Předseda","Česká společnost intervenční radiologie ČLS JEP","Komise pro přípravu programu screeningu aneurysmatu abdominální aorty (Předseda)"
1154,"Mgr. Jitka Kolmanová",1,"Členové","","Meziresortní pracovní skupiny k výkonu rozsudku V proti ČR (Členové)"
1156,"MUDr. Petr Kolouch, MBA",1,"Členové","Asociace ZZS ČR","Pracovní komise pro systémové řešení urgentních příjmů (Členové)"
1175,"Mgr. Denisa Kopková",1,"Předseda","","Rozkladová komise ministra zdravotnictví (Předseda)"
1181,"doc. MUDr. Pavel Koranda, Ph.D.",1,"Členové","","Pracovní skupina pro lékařské ozáření (Členové)"
1190,"MUDr. Pavel Kosina, Ph.D.",1,"Členové","","Národní institut pro zvládání pandemie (Členové)"
1199,"MUDr. Veronika Kotková",1,"Členové","","Pracovní skupina pro návykové nemoci při Ministerstvu zdravotnictví  (PSPNN) (Členové)"
1209,"Ing. Bc. Irena Kouřilová",1,"Členové","","Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami (Členové)"
1213,"MUDr. Martina Kövári, MHA",1,"Členové","Společnost pro rehabilitační a fyzikální medicínu ČLS JEP","Pracovní skupina pro koncepci neurorehabilitační péče v ČR (Členové)"
1228,"Mgr. Ondřej Krahula, MBA",1,"Členové","Společnost radiologických asistentů ČR","Akreditační komise pro nelékařská povolání dle § 47 zákona č. 96/2004 Sb. (Členové)"
1243,"prof. MUDr. Eva Králíková, CSc.",1,"Členové","Společnost pro léčbu závislosti na tabáku","Komise pro program časného záchytu karcinomu plic (Členové)"
1259,"Mgr. Aleš Krebs, Ph.D.",1,"Členové","","Vzdělávací rada farmaceutů (Členové)"
1281,"Mgr. Ilona Krsková",1,"Členové","","Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS (Členové)"
1282,"prof. MUDr. Michal Kršek, CSc., MBA",1,"Členové","Česká endokrinologická společnost ČLS JEP","Komise pro přípravu programu časného záchytu poruch štítné žlázy v těhotenství (Členové)"
1285,"prof. MUDr. Zdeněk Krška, DrSc.",1,"Členové","ČLS JEP","Komise pro kategorizaci a úhradovou regulaci zdravotnických prostředků (Členové)"
1329,"MUDr. Vladimír Kučera",1,"Členové","Svaz zdravotních pojišťoven ČR","Komise pro podporu diagnostiky a léčby rakoviny slinivky břišní (Členové)"
1331,"MUDr. Ivan Kučera, Ph.D.",1,"Členové","","Poradní sbor hygieny práce a pracovního lékařství náměstkyně pro ochranu a podporu veřejného zdraví MZ ČR a hlavní hygieničky České republiky (Členové)"
1332,"MVDr. Eva Kučerová",1,"Členové","","Národní transfuzní komise MZ (Členové)"
1336,"MUDr. Zdeňka Kučerová Salcman, MBA, LL.M.",1,"Členové","","Řídící rada pro implementaci CZ-DRG do resortu zdravotnictví (Členové)"
1354,"Ing. Jaroslava Kunová",1,"Členové","","Řídící rada pro implementaci CZ-DRG do resortu zdravotnictví (Členové)"
1364,"MUDr. Vladislav Kutěj",1,"Členové","SUMMK ČLS JEP","Pracovní komise pro systémové řešení urgentních příjmů (Členové)"
1366,"prof. MUDr. Milan Kvapil, CSc., MBA",1,"Členové","","Pracovní skupina pro obezitu a diabetes v rámci Národního programu prevence a léčby obezity České republiky (Členové)"
1401,"doc. Ing. Lenka Lhotská, CSc.",1,"Členové","","Rada Národního centra pro medicínské nomenklatury a klasifikace (Členové)"
1404,"Ing. Jan Linda",1,"Členové","","Řídící rada pro implementaci CZ-DRG do resortu zdravotnictví (Členové)"
1411,"Mgr. Miroslava Linhartová",1,"Tajemník","","Pracovní skupina pro bakteriofágovou terapii (Tajemník)"
1425,"MUDr. Radka Lohynská, Ph.D.",1,"Členové","","Pracovní skupina pro lékařské ozáření (Členové)"
1438,"RNDr. Jaroslav Loucký, Ph.D.",1,"Členové","","Rada poskytovatelů Ministerstva zdravotnictví (Členové)"
1449,"prof. MUDr. Milan Macek, DrSc.",1,"Předseda","","Rada Národního centra pro medicínské nomenklatury a klasifikace (Předseda)"
1487,"PhDr. Hana Malinová, CSc.",1,"Členové","","Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS (Členové)"
1495,"MUDr. Jan Malý, Ph.D.",1,"Členové","","Pracovní skupina pro koncepční řešení pediatrické péče (Členové)"
1505,"doc. MUDr. Tonko Mardešič, CSc.",1,"Členové","","Komise pro reprodukční medicínu (Členové)"
1574,"doc. PharmDr. Ludmila Matysová, Ph.D.",1,"Předseda","","Lékopisná komise Ministerstva zdravotnictví (Předseda)"
1579,"PharmDr. Jaroslav Maxa, Ph.D.",1,"Členové","","Lékopisná komise Ministerstva zdravotnictví (Členové)"
1580,"Ing. Martin Mayer, Ph.D., MHA",1,"Místopředseda","Česká společnost biomedicínského inženýrství a lékařské informatiky ČLS JEP","Komise pro posuzování rozmístění přístrojových zdravotnických prostředků a kapacit hrazených z veřejného zdravotního pojištění (Místopředseda)"
1581,"prof. MUDr. Jiří Mayer, CSc.",1,"Členové","ERN EuroBloodNet, FN Brno","Mezioborová komise pro vzácná onemocnění (Členové)"
1586,"prim. MUDr. Jan Mečl",1,"Členové","ČLK","Národní rada elektronického zdravotnictví (Členové)"
1597,"prof. MUDr. Bohuslav Melichar, Ph.D.",1,"Členové","KOC FN Olomouc","Národní rada komplexních onkologických center (Členové)"
1607,"MUDr. Ivana Mervartová",1,"Místopředseda","","Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami (Místopředseda)"
1654,"MUDr. Dana Moravčíková",1,"Členové","Společnost všeobecného lékařství ČLS JEP","Komise pro přípravu programu časného záchytu poruch štítné žlázy v těhotenství (Členové)"
1655,"Ing. Václav Moravec",1,"Členové","","Rada poskytovatelů Ministerstva zdravotnictví (Členové)"
1662,"prof. MUDr. Zuzana Moťovská, Ph.D., FESC.",1,"Členové","zástupkyně přednosty pro vědeckou činnost (Kardiologie), 3. LF a FNKV","Pracovní skupina pro klinické hodnocení humánních léčivých přípravků (Členové)"
1677,"MUDr. Zdeněk Mrozek, Ph.D.",1,"Členové","","Pracovní komise pro systémové řešení urgentních příjmů (Členové)"
