group_id,group_name,section_unit,role,person_id,person_name,affiliation
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",2547,"MUDr. Petr Šonka",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",2612,"MUDr. Hana Šustková",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",2849,"MUDr. Andrea Vocilková",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",2995,"prof. MUDr. Tomáš Zima, DrSc.",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",3016,"MUDr. Miroslav Zvolsky","bez hlasovacího práva"
7,"Národní transfuzní komise MZ","SZT/OLZP","Předseda",2181,"MUDr. Vít Řeháček",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Místopředseda",2708,"MUDr. Petr Turek",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",3781,"doc. MUDr. Jan Bláha, Ph.D., MHA",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",166,"plk. MUDr. Miloš Bohoněk, Ph.D.",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",224,"MUDr. Alena Bulíková, Ph.D.",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",570,"MUDr. Dana Galuszková, Ph.D., MBA",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",806,"doc. MUDr. David Hoskovec, Ph.D.",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",940,"MUDr. Daniel Janek",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",3522,"MUDr. Pavla Krtilová",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",1332,"MVDr. Eva Kučerová",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",3451,"Mgr. Zdeněk Kyselý",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",1629,"PharmDr. Jana Milštainová",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",1720,"RNDr. Vratislav Němeček, CSc.",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",3272,"Ing. Jiří Štěrba",""
7,"Národní transfuzní komise MZ","SZT/OLZP","Členové",2715,"Ing. Štěpánka Tyburcová",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Předseda",1574,"doc. PharmDr. Ludmila Matysová, Ph.D.",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Místopředseda",3307,"MUDr. Tomáš Boráň",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Místopředseda",229,"MVDr. Jiří Bureš",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Tajemník",149,"Ing. Hana Bízková",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",812,"Ing. Milan Houska, CSc.",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",957,"PharmDr. Michal Janů, Ph.D.",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",3236,"RNDr. Hana Jůzová",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",1134,"Ing. Ivana Kohoutová",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",1579,"PharmDr. Jaroslav Maxa, Ph.D.",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",1629,"PharmDr. Jana Milštainová",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",4159,"RNDr. Eva Novotná, Ph.D.",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",1890,"PharmDr. Zdeněk Pečinka",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",4156,"Ing. Dagmar Pospíšilová, Ph.D.",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",2074,"RNDr. Helena Puffrová",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",4158,"MUDr. Jolana Schreiberová, Ph.D.",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",4160,"doc. PharmDr. Tomáš Siatka, CSc.",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",2509,"doc. PharmDr. Zdeňka Šklubalová, Ph.D.",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",2584,"PharmDr. RNDr. Jiří Štěpán, Ph.D.",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",4157,"PharmDr. Irena Štverková",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",2826,"prof. RNDr. Jarmila Vinšová, CSc.",""
8,"Lékopisná komise Ministerstva zdravotnictví","SZT/OLZP","Členové",2830,"MUDr. Eva Vítková",""
11,"Národní imunizační komise (NIKO)","HH/OVZ","Předseda",1453,"MUDr. Barbora Macková, MHA",""
11,"Národní imunizační komise (NIKO)","HH/OVZ","Tajemník",364,"MUDr. Jozef Dlhý, Ph.D.",""
11,"Národní imunizační komise (NIKO)","HH/OVZ","Členové",45,"Mgr. Martin Balada, LL.M.",""
11,"Národní imunizační komise (NIKO)","HH/OVZ","Členové",3307,"MUDr. Tomáš Boráň",""
11,"Národní imunizační komise (NIKO)","HH/OVZ","Členové",3663,"Ing. Miroslav Jankůj, Ph.D.",""
11,"Národní imunizační komise (NIKO)","HH/OVZ","Členové",1054,"MUDr. Igor Karen",""
11,"Národní imunizační komise (NIKO)","HH/OVZ","Členové",1885,"prof. MUDr. Petr Pazdiora, CSc.",""
11,"Národní imunizační komise (NIKO)","HH/OVZ","Členové",3868,"MUDr. Věra Pellantová, Ph.D.",""
11,"Národní imunizační komise (NIKO)","HH/OVZ","Členové",2458,"MUDr. Alena Šebková",""
11,"Národní imunizační komise (NIKO)","HH/OVZ","Členové",2507,"Ing. Mgr. Venuše Škampová",""
11,"Národní imunizační komise (NIKO)","HH/OVZ","Členové",2954,"Mgr. Jan Zapletal",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Předseda",1453,"MUDr. Barbora Macková, MHA",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Místopředseda",3461,"MUDr. Anna Kubátová",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Tajemník",348,"Mgr. Bc. Hana Davidová",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Členové",367,"doc. MUDr. Pavel Dlouhý, Ph.D.",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Členové",3820,"Mgr. Matyáš Fošum, Ph.D.",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Členové",3465,"Mgr. Petr Kalla",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Členové",1281,"Mgr. Ilona Krsková",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Členové",1487,"PhDr. Hana Malinová, CSc.",""
